Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,50999,3021.2236,1000,,,,,,,,,,
,,,,,51000,,,-173.7316131591797,-6.129697322845459,0.9256227016448975,172.04356384277344,172.19915771484375,0.03931426256895065,-0.005098945926874876,0.0003,0.0003,0.03931451588869095
,,,,,51999,3035.8083,1000,,,,,,,,,,
,,,,,52000,,,-180.39938354492188,-5.599512100219727,0.8398741483688354,178.9979248046875,178.9375762939453,0.039600443094968796,0.015859520062804222,0.0003,0.0003,0.03959869593381882
,,,,,52999,3092.1575,1000,,,,,,,,,,
,,,,,53000,,,-187.6353302001953,-5.654026985168457,1.0848137140274048,186.2312774658203,186.09793090820312,0.040004462003707886,0.013840483501553535,0.0003,0.0003,0.04000362008810043
,,,,,53999,2983.8748,1000,,,,,,,,,,
,,,,,54000,,,-191.04364013671875,-6.136627674102783,0.8194735050201416,189.53005981445312,189.70819091796875,0.04028068110346794,-0.0055034649558365345,0.0003,0.0003,0.040281977504491806
,,,,,54999,3069.8171,1000,,,,,,,,,,
3124.0903,56.461544,3163.9185,2975.1948,1000.0,55000,,,-195.06390380859375,-6.236097812652588,0.8031671047210693,193.6939239501953,193.77357482910156,0.040554214268922806,-0.009574749507009983,0.0003,0.0003,0.04055541381239891
,,,,,55999,3137.6335,1000,,,,,,,,,,
,,,,,56000,,,-197.04005432128906,-6.19176721572876,1.0138896703720093,195.5408477783203,195.51036071777344,0.040562957525253296,-0.007778664585202932,0.0003,0.0003,0.040564727038145065
,,,,,56999,3192.303,1000,,,,,,,,,,
,,,,,57000,,,-204.6389617919922,-5.98553991317749,0.8702424764633179,203.44505310058594,203.33200073242188,0.040053725242614746,0.000579170766286552,0.0003,0.0003,0.040053773671388626
,,,,,57999,3205.2332,1000,,,,,,,,,,
,,,,,58000,,,-209.94097900390625,-5.976956367492676,0.7029972672462463,208.59829711914062,208.74378967285156,0.03965136408805847,0.0009137179586105049,0.0003,0.0003,0.039651837199926376
,,,,,58999,3162.8904,1000,,,,,,,,,,
,,,,,59000,,,-214.15016174316406,-6.111607551574707,0.7124271392822266,213.0168914794922,213.0269012451172,0.039320994168519974,-0.004388508386909962,0.0003,0.0003,0.03932178020477295
,,,,,59999,3196.3406,1000,,,,,,,,,,
3191.4844,95.75364,3254.4138,2908.9019,1000.0,60000,,,-217.93832397460938,-6.256713390350342,0.6287735104560852,216.7525634765625,216.8406982421875,0.03911213576793671,-0.010040615685284138,0.0003,0.0003,0.03911164030432701
,,,,,60999,3241.5803,1000,,,,,,,,,,
,,,,,61000,,,-216.5623016357422,-6.067705154418945,0.8167285919189453,214.96685791015625,215.0450897216797,0.038999538868665695,-0.002640459919348359,0.0003,0.0003,0.039000097662210464
,,,,,61999,3245.938,1000,,,,,,,,,,
,,,,,62000,,,-222.11044311523438,-6.168206214904785,0.6540468335151672,220.67921447753906,220.68997192382812,0.03903535380959511,-0.006565991323441267,0.0003,0.0003,0.0390339195728302
,,,,,62999,3319.6323,1000,,,,,,,,,,
,,,,,63000,,,-229.81674194335938,-5.769343376159668,0.5627515912055969,228.61773681640625,228.72764587402344,0.03903813660144806,0.009004402905702591,0.0003,0.0003,0.03903822973370552
,,,,,63999,3242.7087,1000,,,,,,,,,,
,,,,,64000,,,-230.69400024414062,-6.161818981170654,0.5849637985229492,229.2198944091797,229.2657928466797,0.03929944708943367,-0.006359390448778868,0.0003,0.0003,0.03930117189884186
,,,,,64999,2812.1401,1000,,,,,,,,,,
3343.2004,35.765545,3381.8135,3273.7896,1000.0,65000,,,-234.92800903320312,-6.3307037353515625,0.7665774822235107,233.6939697265625,233.7834930419922,0.039667677134275436,-0.013118252158164978,0.0003,0.0003,0.039670493453741074
,,,,,65999,3251.7188,1000,,,,,,,,,,
,,,,,66000,,,-236.6126251220703,-6.0587992668151855,0.6954982876777649,235.39773559570312,235.40403747558594,0.03796635940670967,-0.0022323904559016228,0.0003,0.0003,0.03796547278761864
,,,,,66999,3190.5105,1000,,,,,,,,,,
,,,,,67000,,,-243.17544555664062,-5.831772804260254,0.6809868812561035,242.20570373535156,242.17330932617188,0.03677701577544212,0.006186900194734335,0.0003,0.0003,0.03677624464035034
,,,,,67999,3347.7883,1000,,,,,,,,,,
