Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,6601,10.323767,12,,,,,,,,
,,,,,6629,35.869587,28,,,,,,,,
,,,,,6682,93.905945,53,,,,,,,,
,,,,,6702,11.225081,20,,,,,,,,
,,,,,6716,13.346793,14,,,,,,,,
,,,,,6730,8.896501,14,,,,,,,,
,,,,,6765,28.959047,35,,,,,,,,
,,,,,6823,65.55519,58,,,,,,,,
,,,,,6841,16.624662,18,,,,,,,,
,,,,,6858,19.808622,17,,,,,,,,
,,,,,6867,6.115831,9,,,,,,,,
,,,,,6884,10.14545,17,,,,,,,,
,,,,,6924,35.414062,40,,,,,,,,
,,,,,6935,7.829307,11,,,,,,,,
,,,,,6969,29.57494,34,,,,,,,,
,,,,,6985,10.451336,16,,,,,,,,
,,,,,6996,8.907538,11,,,,,,,,
,,,,,7014,20.953123,18,,,,,,,,
,,,,,7025,8.43909,11,,,,,,,,
,,,,,7041,12.167987,16,,,,,,,,
,,,,,7099,76.18809,58,,,,,,,,
,,,,,7112,10.673898,13,,,,,,,,
,,,,,7127,15.525755,15,,,,,,,,
,,,,,7144,10.492849,17,,,,,,,,
,,,,,7175,43.082542,31,,,,,,,,
,,,,,7195,22.471004,20,,,,,,,,
,,,,,7220,27.566866,25,,,,,,,,
,,,,,7233,11.341386,13,,,,,,,,
,,,,,7262,24.97343,29,,,,,,,,
,,,,,7295,30.77018,33,,,,,,,,
,,,,,7315,14.33121,20,,,,,,,,
,,,,,7326,9.787867,11,,,,,,,,
,,,,,7341,9.7876215,15,,,,,,,,
,,,,,7363,20.67325,22,,,,,,,,
,,,,,7381,16.635695,18,,,,,,,,
,,,,,7391,8.719372,10,,,,,,,,
,,,,,7402,7.29861,11,,,,,,,,
,,,,,7414,10.090842,12,,,,,,,,
,,,,,7441,26.623707,27,,,,,,,,
,,,,,7459,15.925108,18,,,,,,,,
,,,,,7471,9.245659,12,,,,,,,,
,,,,,7492,12.716359,21,,,,,,,,
,,,,,7510,8.119499,18,,,,,,,,
