Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,66561,280.0,1794,,,,,,
,,,,,66981,180.0,1690,,,,,,
,,,,,67000,,,16.146724700927734,16.499046325683594,16.537954330444336,180.11842346191406,0.9030625,9.718739583333334e-05
,,,,,67732,760.0,3018,,,,,,
,,,,,68000,,,8.4892578125,20.740642547607422,21.633750915527344,369.1163024902344,0.901,9.708322916666667e-05
,,,,,68178,190.0,1794,,,,,,
,,,,,68706,360.0,2122,,,,,,
,,,,,69000,,,3.2262892723083496,20.18822479248047,19.680500030517578,182.03482055664062,0.8989375,9.69790625e-05
,,,,,69182,260.0,1914,,,,,,
,,,,,69628,160.0,1786,,,,,,
843.0,308.96762,1070.0,280.0,2488.4,70000,,,2.9665753841400146,22.582229614257812,22.351783752441406,197.19590759277344,0.896875,9.687489583333333e-05
,,,,,70122,280.0,1978,,,,,,
,,,,,70669,330.0,2210,,,,,,
,,,,,71000,,,14.981056213378906,18.153732299804688,18.20368766784668,201.5361785888672,0.8948125,9.677072916666667e-05
,,,,,71093,190.0,1722,,,,,,
,,,,,71628,330.0,2146,,,,,,
,,,,,72000,,,8.801206588745117,18.196104049682617,19.126651763916016,351.6357116699219,0.89275,9.66665625e-05
,,,,,72196,310.0,2274,,,,,,
,,,,,72720,200.0,2098,,,,,,
,,,,,73000,,,5.268771171569824,17.829843521118164,18.218708038330078,150.3252716064453,0.8906875,9.656239583333334e-05
,,,,,73200,240.0,1922,,,,,,
,,,,,73758,250.0,2234,,,,,,
,,,,,74000,,,5.751415252685547,19.830720901489258,19.736125946044922,171.00457763671875,0.888625,9.645822916666667e-05
,,,,,74236,290.0,1922,,,,,,
,,,,,74707,240.0,1890,,,,,,
,,,,,75000,,,3.6981801986694336,19.668514251708984,19.986352920532227,136.3883819580078,0.8865625,9.635406250000001e-05
,,,,,75106,180.0,1594,,,,,,
,,,,,75620,420.0,2074,,,,,,
,,,,,76000,,,2.5880842208862305,20.937788009643555,20.12202262878418,305.10284423828125,0.8845,9.624989583333334e-05
,,,,,76136,310.0,2074,,,,,,
,,,,,76572,220.0,1746,,,,,,
,,,,,76975,180.0,1610,,,,,,
,,,,,77000,,,5.4809722900390625,17.57948112487793,17.995147705078125,163.5521240234375,0.8824375,9.614572916666667e-05
,,,,,77438,300.0,1882,,,,,,
,,,,,77880,250.0,1778,,,,,,
,,,,,78000,,,4.821105003356934,18.678659439086914,18.57036018371582,124.55460357666016,0.880375,9.60415625e-05
,,,,,78376,280.0,1994,,,,,,
,,,,,78837,310.0,1858,,,,,,
,,,,,79000,,,5.224048614501953,23.302349090576172,23.08406639099121,167.03541564941406,0.8783125,9.593739583333334e-05
,,,,,79397,400.0,2266,,,,,,
,,,,,79814,160.0,1682,,,,,,
512.0,243.63087,870.0,280.0,2334.0,80000,,,4.604958534240723,20.2784423828125,19.38540267944336,321.6033630371094,0.87625,9.583322916666667e-05
,,,,,80318,230.0,2018,,,,,,
,,,,,80853,250.0,2162,,,,,,
,,,,,81000,,,4.693643093109131,17.82377052307129,18.54291343688965,206.2297821044922,0.8741875,9.57290625e-05
,,,,,81317,280.0,1882,,,,,,
,,,,,81877,470.0,2266,,,,,,
,,,,,82000,,,6.815488338470459,19.547164916992188,20.12298011779785,258.0370178222656,0.872125,9.562489583333334e-05
,,,,,82736,490.0,3458,,,,,,
,,,,,83000,,,75.66080474853516,20.18426513671875,20.58051300048828,1230.682373046875,0.8700625,9.552072916666667e-05
,,,,,83109,180.0,1506,,,,,,
,,,,,83562,300.0,1842,,,,,,
,,,,,84000,,,5.481514930725098,25.395000457763672,24.484601974487305,275.11981201171875,0.868,9.541656250000001e-05
,,,,,84058,200.0,1994,,,,,,
,,,,,84485,330.0,1714,,,,,,
,,,,,84896,240.0,1674,,,,,,
,,,,,85000,,,10.048205375671387,24.756380081176758,25.841318130493164,492.4734802246094,0.8659375,9.531239583333334e-05
,,,,,85544,360.0,2610,,,,,,
