Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,4671,37.0,37,,,,,,
,,,,,4709,38.0,38,,,,,,
,,,,,4755,46.0,46,,,,,,
,,,,,4779,24.0,24,,,,,,
,,,,,4790,11.0,11,,,,,,
,,,,,4826,36.0,36,,,,,,
,,,,,4850,24.0,24,,,,,,
,,,,,4862,12.0,12,,,,,,
,,,,,4904,42.0,42,,,,,,
,,,,,4919,15.0,15,,,,,,
,,,,,4976,57.0,57,,,,,,
142.5,10.846659,165.0,128.0,142.5,5000,,,0.09156594425439835,3.938249349594116,3.9121525287628174,0.390125572681427,0.85,0.0005
,,,,,5006,30.0,30,,,,,,
,,,,,5036,30.0,30,,,,,,
,,,,,5090,54.0,54,,,,,,
,,,,,5174,84.0,84,,,,,,
,,,,,5200,26.0,26,,,,,,
,,,,,5219,19.0,19,,,,,,
,,,,,5240,21.0,21,,,,,,
,,,,,5284,44.0,44,,,,,,
,,,,,5310,26.0,26,,,,,,
,,,,,5323,13.0,13,,,,,,
,,,,,5341,18.0,18,,,,,,
,,,,,5382,41.0,41,,,,,,
,,,,,5403,21.0,21,,,,,,
,,,,,5416,13.0,13,,,,,,
,,,,,5444,28.0,28,,,,,,
,,,,,5458,14.0,14,,,,,,
,,,,,5472,14.0,14,,,,,,
,,,,,5489,17.0,17,,,,,,
,,,,,5514,25.0,25,,,,,,
,,,,,5533,19.0,19,,,,,,
,,,,,5542,9.0,9,,,,,,
,,,,,5561,19.0,19,,,,,,
,,,,,5660,99.0,99,,,,,,
,,,,,5680,20.0,20,,,,,,
,,,,,5693,13.0,13,,,,,,
,,,,,5706,13.0,13,,,,,,
,,,,,5787,81.0,81,,,,,,
,,,,,5821,34.0,34,,,,,,
,,,,,5834,13.0,13,,,,,,
,,,,,5843,9.0,9,,,,,,
,,,,,5858,15.0,15,,,,,,
,,,,,5921,63.0,63,,,,,,
,,,,,5935,14.0,14,,,,,,
,,,,,5963,28.0,28,,,,,,
,,,,,5983,20.0,20,,,,,,
,,,,,5998,15.0,15,,,,,,
,,,,,6000,,,0.09137886017560959,4.665861129760742,4.686342716217041,0.40216347575187683,0.82,0.0005
,,,,,6008,10.0,10,,,,,,
,,,,,6075,67.0,67,,,,,,
,,,,,6094,19.0,19,,,,,,
,,,,,6178,84.0,84,,,,,,
,,,,,6203,25.0,25,,,,,,
,,,,,6216,13.0,13,,,,,,
,,,,,6277,61.0,61,,,,,,
,,,,,6317,40.0,40,,,,,,
,,,,,6351,34.0,34,,,,,,
,,,,,6369,18.0,18,,,,,,
,,,,,6492,123.0,123,,,,,,
,,,,,6561,69.0,69,,,,,,
,,,,,6597,36.0,36,,,,,,
,,,,,6654,57.0,57,,,,,,
,,,,,6669,15.0,15,,,,,,
,,,,,6698,29.0,29,,,,,,
,,,,,6721,23.0,23,,,,,,
,,,,,6741,20.0,20,,,,,,
,,,,,6760,19.0,19,,,,,,
,,,,,6776,16.0,16,,,,,,
,,,,,6889,113.0,113,,,,,,
,,,,,6939,50.0,50,,,,,,
,,,,,6960,21.0,21,,,,,,
,,,,,6979,19.0,19,,,,,,
,,,,,7000,,,0.19976963102817535,5.345759391784668,5.327796459197998,0.3960374891757965,0.79,0.0005
,,,,,7091,112.0,112,,,,,,
,,,,,7131,40.0,40,,,,,,
,,,,,7230,99.0,99,,,,,,
,,,,,7305,75.0,75,,,,,,
,,,,,7369,64.0,64,,,,,,
,,,,,7400,31.0,31,,,,,,
,,,,,7425,25.0,25,,,,,,
,,,,,7454,29.0,29,,,,,,
,,,,,7490,36.0,36,,,,,,
250.9,48.53545,379.0,194.0,250.9,7500,,,0.08463364839553833,6.306545257568359,6.310831546783447,0.3809899687767029,0.775,0.0005
,,,,,7592,102.0,102,,,,,,
,,,,,7632,40.0,40,,,,,,
,,,,,7654,22.0,22,,,,,,
,,,,,7684,30.0,30,,,,,,
,,,,,7713,29.0,29,,,,,,
,,,,,7752,39.0,39,,,,,,
,,,,,7763,11.0,11,,,,,,
,,,,,7788,25.0,25,,,,,,
,,,,,7805,17.0,17,,,,,,
,,,,,7818,13.0,13,,,,,,
,,,,,7831,13.0,13,,,,,,
,,,,,7847,16.0,16,,,,,,
,,,,,7922,75.0,75,,,,,,
,,,,,7947,25.0,25,,,,,,
,,,,,7967,20.0,20,,,,,,
,,,,,8000,,,0.02035084366798401,6.68441104888916,6.721171855926514,0.5302837491035461,0.76,0.0005
,,,,,8041,74.0,74,,,,,,
,,,,,8130,89.0,89,,,,,,
,,,,,8143,13.0,13,,,,,,
,,,,,8185,42.0,42,,,,,,
,,,,,8249,64.0,64,,,,,,
,,,,,8277,28.0,28,,,,,,
,,,,,8290,13.0,13,,,,,,
,,,,,8381,91.0,91,,,,,,
,,,,,8406,25.0,25,,,,,,
,,,,,8422,16.0,16,,,,,,
,,,,,8461,39.0,39,,,,,,
,,,,,8479,18.0,18,,,,,,
,,,,,8495,16.0,16,,,,,,
,,,,,8526,31.0,31,,,,,,
,,,,,8588,62.0,62,,,,,,
,,,,,8605,17.0,17,,,,,,
,,,,,8666,61.0,61,,,,,,
,,,,,8760,94.0,94,,,,,,
,,,,,8797,37.0,37,,,,,,
,,,,,8840,43.0,43,,,,,,
,,,,,8871,31.0,31,,,,,,
,,,,,8927,56.0,56,,,,,,
,,,,,8943,16.0,16,,,,,,
,,,,,8979,36.0,36,,,,,,
,,,,,9000,,,0.1856497973203659,7.243349075317383,7.209678649902344,0.7084930539131165,0.73,0.0005
,,,,,9049,70.0,70,,,,,,
,,,,,9077,28.0,28,,,,,,
,,,,,9129,52.0,52,,,,,,
,,,,,9163,34.0,34,,,,,,
,,,,,9178,15.0,15,,,,,,
,,,,,9201,23.0,23,,,,,,
,,,,,9229,28.0,28,,,,,,
,,,,,9277,48.0,48,,,,,,
,,,,,9294,17.0,17,,,,,,
,,,,,9382,88.0,88,,,,,,
,,,,,9415,33.0,33,,,,,,
,,,,,9454,39.0,39,,,,,,
,,,,,9487,33.0,33,,,,,,
,,,,,9540,53.0,53,,,,,,
,,,,,9567,27.0,27,,,,,,
,,,,,9610,43.0,43,,,,,,
,,,,,9621,11.0,11,,,,,,
,,,,,9642,21.0,21,,,,,,
,,,,,9657,15.0,15,,,,,,
,,,,,9728,71.0,71,,,,,,
,,,,,9771,43.0,43,,,,,,
,,,,,9811,40.0,40,,,,,,
,,,,,9854,43.0,43,,,,,,
,,,,,9917,63.0,63,,,,,,
,,,,,9942,25.0,25,,,,,,
,,,,,9983,41.0,41,,,,,,
,,,,,10000,17.0,17,,,,,,
383.0,76.046036,500.0,249.0,383.0,10000,,,0.01525572407990694,8.303082466125488,8.317646980285645,0.4282451570034027,0.7,0.0005
,,,,,10009,9.0,9,,,,,,
