Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,52000,,,-145.17604064941406,-1.5581309795379639,0.683424711227417,144.01771545410156,143.90206909179688,0.0003,0.0003,0.1
,,,,,52999,2775.4353,1000,,,,,,,,
,,,,,53000,,,-151.35194396972656,-1.644810676574707,0.7707253694534302,150.16485595703125,150.10975646972656,0.0003,0.0003,0.1
,,,,,53999,2843.549,1000,,,,,,,,
,,,,,54000,,,-154.06161499023438,-1.9369258880615234,0.857337236404419,152.7478790283203,152.61898803710938,0.0003,0.0003,0.1
,,,,,54999,2905.9841,1000,,,,,,,,
2949.594,65.93967,3057.0457,2835.9993,1000.0,55000,,,-157.25001525878906,-2.315229892730713,0.6832096576690674,155.82400512695312,155.87330627441406,0.0003,0.0003,0.1
,,,,,55999,2901.103,1000,,,,,,,,
,,,,,56000,,,-157.4320831298828,-2.0378072261810303,0.6979360580444336,156.24139404296875,156.3033447265625,0.0003,0.0003,0.1
,,,,,56999,2923.2056,1000,,,,,,,,
,,,,,57000,,,-166.63792419433594,-2.14508056640625,0.7381200790405273,165.4145050048828,165.28416442871094,0.0003,0.0003,0.1
,,,,,57999,2985.4487,1000,,,,,,,,
,,,,,58000,,,-174.8543701171875,-2.1159703731536865,0.8226784467697144,173.69027709960938,173.670166015625,0.0003,0.0003,0.1
,,,,,58999,3009.9841,1000,,,,,,,,
,,,,,59000,,,-176.68048095703125,-2.1313600540161133,0.8004487752914429,175.3773193359375,175.42405700683594,0.0003,0.0003,0.1
,,,,,59999,3078.7915,1000,,,,,,,,
3047.8938,30.015343,3101.3796,3004.675,1000.0,60000,,,-181.38204956054688,-2.258352756500244,0.6473902463912964,180.13973999023438,180.17044067382812,0.0003,0.0003,0.1
,,,,,60999,3057.2124,1000,,,,,,,,
,,,,,61000,,,-178.92300415039062,-2.290966749191284,0.7053115963935852,177.62583923339844,177.70907592773438,0.0003,0.0003,0.1
,,,,,61999,3153.7625,1000,,,,,,,,
,,,,,62000,,,-185.5355224609375,-2.5771961212158203,0.8178609609603882,184.1113739013672,184.09681701660156,0.0003,0.0003,0.1
,,,,,62999,3185.6692,1000,,,,,,,,
,,,,,63000,,,-195.2192840576172,-2.7469959259033203,0.9461469054222107,193.9615478515625,193.85386657714844,0.0003,0.0003,0.1
,,,,,63999,3197.6555,1000,,,,,,,,
,,,,,64000,,,-197.5363311767578,-2.65582537651062,0.8521906733512878,196.18775939941406,196.07672119140625,0.0003,0.0003,0.1
,,,,,64999,3253.8257,1000,,,,,,,,
3269.7378,43.625923,3319.8682,3197.5188,1000.0,65000,,,-199.32334899902344,-2.834249496459961,0.8400107026100159,197.89013671875,198.08030700683594,0.0003,0.0003,0.1
,,,,,65999,3250.723,1000,,,,,,,,
,,,,,66000,,,-205.79701232910156,-2.6326236724853516,0.9719130992889404,204.19227600097656,204.2635498046875,0.0003,0.0003,0.1
,,,,,66999,3272.1938,1000,,,,,,,,
,,,,,67000,,,-215.64601135253906,-2.592755079269409,0.5943505764007568,214.27955627441406,214.19667053222656,0.0003,0.0003,0.1
,,,,,67999,3328.521,1000,,,,,,,,
,,,,,68000,,,-213.3406982421875,-2.4943344593048096,0.9537726640701294,211.84320068359375,211.90284729003906,0.0003,0.0003,0.1
,,,,,68999,3307.8806,1000,,,,,,,,
,,,,,69000,,,-221.11752319335938,-2.230638027191162,0.7826999425888062,219.83279418945312,219.74510192871094,0.0003,0.0003,0.1
,,,,,69999,3353.484,1000,,,,,,,,
3344.3074,45.67233,3392.5593,3254.5547,1000.0,70000,,,-224.4132080078125,-2.837754487991333,0.7721174955368042,223.11204528808594,223.2178192138672,0.0003,0.0003,0.1
,,,,,70999,3352.4155,1000,,,,,,,,
,,,,,71000,,,-226.6897735595703,-2.797924757003784,1.000699758529663,225.2019805908203,225.16409301757812,0.0003,0.0003,0.1
,,,,,71999,3345.9734,1000,,,,,,,,
,,,,,72000,,,-231.76866149902344,-2.8434035778045654,0.8520585298538208,230.53684997558594,230.49212646484375,0.0003,0.0003,0.1
,,,,,72999,3464.1243,1000,,,,,,,,
,,,,,73000,,,-238.16146850585938,-2.6854147911071777,0.6855027079582214,237.10409545898438,237.03785705566406,0.0003,0.0003,0.1
,,,,,73999,3504.3293,1000,,,,,,,,
,,,,,74000,,,-237.69400024414062,-2.804258108139038,0.8744743466377258,236.5452423095703,236.48902893066406,0.0003,0.0003,0.1
,,,,,74999,3488.5884,1000,,,,,,,,
3514.4175,29.714987,3566.9668,3462.758,1000.0,75000,,,-246.09596252441406,-2.8052773475646973,0.7636327743530273,244.7577362060547,244.9342041015625,0.0003,0.0003,0.1
,,,,,75999,3370.0215,1000,,,,,,,,
,,,,,76000,,,-242.0406036376953,-2.6036577224731445,0.8063113689422607,240.69313049316406,240.73080444335938,0.0003,0.0003,0.1
,,,,,76999,3511.8953,1000,,,,,,,,
,,,,,77000,,,-250.3923797607422,-3.0339479446411133,0.7603872418403625,249.07313537597656,249.05300903320312,0.0003,0.0003,0.1
,,,,,77999,3525.668,1000,,,,,,,,
,,,,,78000,,,-251.4723663330078,-3.0623278617858887,0.7162414193153381,249.94589233398438,249.949951171875,0.0003,0.0003,0.1
,,,,,78999,3465.4473,1000,,,,,,,,
,,,,,79000,,,-255.28265380859375,-3.003884792327881,0.9634460210800171,253.84205627441406,253.8631134033203,0.0003,0.0003,0.1
,,,,,79999,3586.9448,1000,,,,,,,,
3657.1353,62.116898,3735.2727,3500.6528,1000.0,80000,,,-256.73272705078125,-3.0365819931030273,0.7731285095214844,255.20468139648438,255.4337921142578,0.0003,0.0003,0.1
,,,,,80999,3555.8008,1000,,,,,,,,
,,,,,81000,,,-260.8232116699219,-2.7152397632598877,0.8286558389663696,259.48468017578125,259.51904296875,0.0003,0.0003,0.1
,,,,,81999,3603.977,1000,,,,,,,,
,,,,,82000,,,-263.4426574707031,-3.0604443550109863,0.690420389175415,262.1806945800781,262.3008117675781,0.0003,0.0003,0.1
,,,,,82999,3697.322,1000,,,,,,,,
,,,,,83000,,,-267.95477294921875,-2.914581298828125,1.012607455253601,266.353515625,266.4058837890625,0.0003,0.0003,0.1
,,,,,83999,3690.8137,1000,,,,,,,,
,,,,,84000,,,-269.1959228515625,-3.5179243087768555,1.0019845962524414,267.60162353515625,267.75238037109375,0.0003,0.0003,0.1
,,,,,84999,3698.87,1000,,,,,,,,
3634.0188,33.5032,3712.244,3590.4382,1000.0,85000,,,-272.11767578125,-2.7376294136047363,0.8233347535133362,270.68634033203125,270.7420959472656,0.0003,0.0003,0.1
,,,,,85999,1894.5087,1000,,,,,,,,
,,,,,86000,,,-275.6069641113281,-2.8945016860961914,1.345658540725708,274.2436218261719,274.1902160644531,0.0003,0.0003,0.1
,,,,,86999,3737.9265,1000,,,,,,,,
,,,,,87000,,,-275.78826904296875,-2.576451301574707,0.8787118196487427,274.50457763671875,274.6429748535156,0.0003,0.0003,0.1
,,,,,87999,3482.5867,1000,,,,,,,,
,,,,,88000,,,-275.3060302734375,-2.509620189666748,0.8652352094650269,274.3713684082031,274.3077392578125,0.0003,0.0003,0.1
,,,,,88999,3751.1914,1000,,,,,,,,
,,,,,89000,,,-274.36474609375,-2.1668527126312256,0.7795075178146362,273.2754211425781,273.45037841796875,0.0003,0.0003,0.1
,,,,,89999,3770.974,1000,,,,,,,,
3781.228,37.965492,3839.52,3735.4192,1000.0,90000,,,-278.53326416015625,-2.442612886428833,0.7818685173988342,277.42120361328125,277.4714660644531,0.0003,0.0003,0.1
,,,,,90999,3832.7478,1000,,,,,,,,
,,,,,91000,,,-282.37835693359375,-2.4852981567382812,0.6747347116470337,281.20501708984375,281.33074951171875,0.0003,0.0003,0.1
,,,,,91999,3724.9346,1000,,,,,,,,
,,,,,92000,,,-283.89324951171875,-2.848436117172241,0.9358350038528442,282.6925964355469,282.6997985839844,0.0003,0.0003,0.1
,,,,,92999,3737.1362,1000,,,,,,,,
,,,,,93000,,,-286.0653991699219,-2.8530707359313965,0.8884127140045166,284.88946533203125,284.85107421875,0.0003,0.0003,0.1
,,,,,93999,3736.8528,1000,,,,,,,,
,,,,,94000,,,-288.8105773925781,-2.8025081157684326,0.8437480926513672,287.8798828125,287.7513732910156,0.0003,0.0003,0.1
,,,,,94999,3849.5186,1000,,,,,,,,
3524.5864,88.562195,3678.3809,3424.7334,1000.0,95000,,,-288.7817077636719,-2.821676015853882,0.8042628765106201,287.705810546875,287.7824401855469,0.0003,0.0003,0.1
,,,,,95999,3864.1619,1000,,,,,,,,
,,,,,96000,,,-293.96221923828125,-3.0144906044006348,0.9767995476722717,292.7749938964844,292.9726257324219,0.0003,0.0003,0.1
,,,,,96999,3905.6814,1000,,,,,,,,
,,,,,97000,,,-297.619873046875,-3.0599610805511475,1.0571839809417725,296.3399658203125,296.140869140625,0.0003,0.0003,0.1
,,,,,97999,3931.578,1000,,,,,,,,
,,,,,98000,,,-301.53680419921875,-3.062241315841675,1.0278308391571045,300.4161682128906,300.4725341796875,0.0003,0.0003,0.1
,,,,,98999,3953.9905,1000,,,,,,,,
,,,,,99000,,,-298.2913513183594,-2.855740547180176,0.9278185367584229,297.12646484375,297.34344482421875,0.0003,0.0003,0.1
,,,,,99999,3925.3157,1000,,,,,,,,
3964.231,51.81446,4041.2026,3874.5327,1000.0,100000,,,-303.6898193359375,-2.8202292919158936,1.0884395837783813,302.50958251953125,302.50933837890625,0.0003,0.0003,0.1
,,,,,100999,3989.7378,1000,,,,,,,,
,,,,,101000,,,-300.78387451171875,-2.817194938659668,0.788707971572876,299.75390625,299.8420104980469,0.0003,0.0003,0.1
,,,,,101999,3909.5342,1000,,,,,,,,
,,,,,102000,,,-308.9698791503906,-3.0899195671081543,1.039178729057312,307.6927490234375,307.6783752441406,0.0003,0.0003,0.1
,,,,,102999,3969.3757,1000,,,,,,,,
,,,,,103000,,,-306.5008850097656,-3.0500524044036865,0.9599995017051697,305.31072998046875,305.1252746582031,0.0003,0.0003,0.1
,,,,,103999,4102.2686,1000,,,,,,,,
,,,,,104000,,,-307.62255859375,-2.7071168422698975,1.2811635732650757,306.38983154296875,306.2969055175781,0.0003,0.0003,0.1
,,,,,104999,4063.9858,1000,,,,,,,,
3786.011,948.94305,4143.763,940.4349,1000.0,105000,,,-312.6202392578125,-3.4494214057922363,0.8804211616516113,311.29522705078125,311.333740234375,0.0003,0.0003,0.1
,,,,,105999,4120.884,1000,,,,,,,,
,,,,,106000,,,-314.8968505859375,-3.2248260974884033,0.9210529327392578,313.550048828125,313.6524658203125,0.0003,0.0003,0.1
,,,,,106999,4059.0542,1000,,,,,,,,
,,,,,107000,,,-313.29486083984375,-3.112387180328369,1.1440231800079346,312.1614990234375,312.2325134277344,0.0003,0.0003,0.1
,,,,,107999,4111.373,1000,,,,,,,,
,,,,,108000,,,-321.7973327636719,-3.1130738258361816,0.8849256038665771,320.7196350097656,320.8125915527344,0.0003,0.0003,0.1
,,,,,108999,4093.155,1000,,,,,,,,
