Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,1024,6.0,6,,,,,,,,,,
,,,,,1030,6.0,6,,,,,,,,,,
,,,,,1038,8.0,8,,,,,,,,,,
,,,,,1043,5.0,5,,,,,,,,,,
,,,,,1055,12.0,12,,,,,,,,,,
,,,,,1069,14.0,14,,,,,,,,,,
,,,,,1073,4.0,4,,,,,,,,,,
,,,,,1079,6.0,6,,,,,,,,,,
,,,,,1082,3.0,3,,,,,,,,,,
,,,,,1086,4.0,4,,,,,,,,,,
,,,,,1102,16.0,16,,,,,,,,,,
,,,,,1107,5.0,5,,,,,,,,,,
,,,,,1110,3.0,3,,,,,,,,,,
,,,,,1117,7.0,7,,,,,,,,,,
,,,,,1124,7.0,7,,,,,,,,,,
,,,,,1128,4.0,4,,,,,,,,,,
,,,,,1132,4.0,4,,,,,,,,,,
,,,,,1143,11.0,11,,,,,,,,,,
,,,,,1146,3.0,3,,,,,,,,,,
,,,,,1149,3.0,3,,,,,,,,,,
,,,,,1152,3.0,3,,,,,,,,,,
,,,,,1159,7.0,7,,,,,,,,,,
,,,,,1162,3.0,3,,,,,,,,,,
,,,,,1165,3.0,3,,,,,,,,,,
,,,,,1169,4.0,4,,,,,,,,,,
,,,,,1174,5.0,5,,,,,,,,,,
,,,,,1177,3.0,3,,,,,,,,,,
,,,,,1180,3.0,3,,,,,,,,,,
,,,,,1184,4.0,4,,,,,,,,,,
,,,,,1193,9.0,9,,,,,,,,,,
,,,,,1202,9.0,9,,,,,,,,,,
,,,,,1212,10.0,10,,,,,,,,,,
,,,,,1223,11.0,11,,,,,,,,,,
,,,,,1237,14.0,14,,,,,,,,,,
,,,,,1254,17.0,17,,,,,,,,,,
,,,,,1259,5.0,5,,,,,,,,,,
,,,,,1265,6.0,6,,,,,,,,,,
,,,,,1268,3.0,3,,,,,,,,,,
,,,,,1273,5.0,5,,,,,,,,,,
,,,,,1285,12.0,12,,,,,,,,,,
,,,,,1289,4.0,4,,,,,,,,,,
,,,,,1294,5.0,5,,,,,,,,,,
,,,,,1299,5.0,5,,,,,,,,,,
,,,,,1303,4.0,4,,,,,,,,,,
,,,,,1310,7.0,7,,,,,,,,,,
,,,,,1314,4.0,4,,,,,,,,,,
,,,,,1322,8.0,8,,,,,,,,,,
,,,,,1333,11.0,11,,,,,,,,,,
,,,,,1347,14.0,14,,,,,,,,,,
,,,,,1350,3.0,3,,,,,,,,,,
