Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1155,3.0,3,,,,,,,,
,,,,,1158,3.0,3,,,,,,,,
,,,,,1165,7.0,7,,,,,,,,
,,,,,1168,3.0,3,,,,,,,,
,,,,,1171,3.0,3,,,,,,,,
,,,,,1175,4.0,4,,,,,,,,
,,,,,1180,5.0,5,,,,,,,,
,,,,,1183,3.0,3,,,,,,,,
,,,,,1186,3.0,3,,,,,,,,
,,,,,1190,4.0,4,,,,,,,,
,,,,,1199,9.0,9,,,,,,,,
,,,,,1208,9.0,9,,,,,,,,
,,,,,1218,10.0,10,,,,,,,,
,,,,,1229,11.0,11,,,,,,,,
,,,,,1243,14.0,14,,,,,,,,
,,,,,1259,16.0,16,,,,,,,,
,,,,,1269,10.0,10,,,,,,,,
,,,,,1274,5.0,5,,,,,,,,
,,,,,1279,5.0,5,,,,,,,,
,,,,,1292,13.0,13,,,,,,,,
,,,,,1298,6.0,6,,,,,,,,
,,,,,1304,6.0,6,,,,,,,,
,,,,,1307,3.0,3,,,,,,,,
,,,,,1322,15.0,15,,,,,,,,
,,,,,1335,13.0,13,,,,,,,,
,,,,,1338,3.0,3,,,,,,,,
,,,,,1343,5.0,5,,,,,,,,
,,,,,1351,8.0,8,,,,,,,,
,,,,,1358,7.0,7,,,,,,,,
,,,,,1369,11.0,11,,,,,,,,
,,,,,1372,3.0,3,,,,,,,,
,,,,,1377,5.0,5,,,,,,,,
,,,,,1386,9.0,9,,,,,,,,
,,,,,1404,18.0,18,,,,,,,,
,,,,,1417,13.0,13,,,,,,,,
,,,,,1423,6.0,6,,,,,,,,
,,,,,1431,8.0,8,,,,,,,,
,,,,,1434,3.0,3,,,,,,,,
,,,,,1440,6.0,6,,,,,,,,
,,,,,1444,4.0,4,,,,,,,,
,,,,,1451,7.0,7,,,,,,,,
,,,,,1456,5.0,5,,,,,,,,
,,,,,1460,4.0,4,,,,,,,,
,,,,,1467,7.0,7,,,,,,,,
,,,,,1470,3.0,3,,,,,,,,
