Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,19503,-224.84007,86,,,,,,
,,,,,19589,-80.9197,86,,,,,,
,,,,,19653,-67.58096,64,,,,,,
,,,,,19735,-51.7422,82,,,,,,
,,,,,19850,-124.017715,115,,,,,,
-1083.2389,944.7404,-364.23404,-3833.6667,136.4,20000,,,167.90841674804688,-0.032516300678253174,-2.20843243598938,23.259546279907227,0.88,0.001
,,,,,20850,82.21653,1000,,,,,,
,,,,,20948,-177.57239,98,,,,,,
,,,,,21000,,,74.15166473388672,-1.6069726943969727,-0.014119014143943787,41.18850326538086,0.874,0.001
,,,,,21041,-140.14262,93,,,,,,
,,,,,21160,-118.365265,119,,,,,,
,,,,,21260,-313.09256,100,,,,,,
,,,,,21344,-97.17197,84,,,,,,
,,,,,21447,-254.00888,103,,,,,,
,,,,,21605,-287.08426,158,,,,,,
,,,,,21692,-60.648636,87,,,,,,
,,,,,21784,-278.50122,92,,,,,,
,,,,,21849,-141.8375,65,,,,,,
,,,,,21970,-195.56909,121,,,,,,
,,,,,22000,,,81.26699829101562,-1.958569049835205,-2.9450244903564453,43.83418655395508,0.868,0.001
,,,,,22058,-158.4743,88,,,,,,
,,,,,22171,-277.95795,113,,,,,,
,,,,,22267,-100.43906,96,,,,,,
,,,,,22343,-124.66913,76,,,,,,
,,,,,22447,-115.365486,104,,,,,,
,,,,,22537,-86.164696,90,,,,,,
,,,,,22638,-187.74573,101,,,,,,
,,,,,22725,-43.9718,87,,,,,,
,,,,,22818,-143.58191,93,,,,,,
,,,,,22957,-91.79562,139,,,,,,
,,,,,23000,,,59.25640869140625,-2.8544766902923584,-3.6901533603668213,46.351261138916016,0.862,0.001
,,,,,23034,-119.70911,77,,,,,,
,,,,,23169,-65.876335,135,,,,,,
,,,,,23250,-38.79587,81,,,,,,
,,,,,23377,-100.70292,127,,,,,,
,,,,,23495,-75.321884,118,,,,,,
,,,,,23563,-109.823364,68,,,,,,
,,,,,23699,-152.66914,136,,,,,,
,,,,,23840,-59.951763,141,,,,,,
,,,,,23964,-272.09918,124,,,,,,
,,,,,24000,,,58.52054214477539,-5.550106048583984,-6.3711137771606445,58.718597412109375,0.856,0.001
,,,,,24029,-83.52699,65,,,,,,
,,,,,24175,-108.17447,146,,,,,,
,,,,,24281,-90.992035,106,,,,,,
,,,,,24362,-133.5076,81,,,,,,
,,,,,24446,-172.09319,84,,,,,,
,,,,,24522,-85.5565,76,,,,,,
,,,,,24592,-95.765976,70,,,,,,
,,,,,24716,-124.360916,124,,,,,,
,,,,,24808,-107.29337,92,,,,,,
,,,,,24912,-105.97153,104,,,,,,
,,,,,24987,-34.87117,75,,,,,,
,,,,,25000,,,2.556185722351074,-0.41041290760040283,-0.2202949970960617,14.474447250366211,0.85,0.001
,,,,,25102,-93.686005,115,,,,,,
,,,,,25196,-74.7422,94,,,,,,
,,,,,25345,-124.79928,149,,,,,,
,,,,,25457,-227.33492,112,,,,,,
,,,,,25539,-102.999504,82,,,,,,
,,,,,25612,-70.6193,73,,,,,,
,,,,,25754,-110.31876,142,,,,,,
,,,,,25864,-135.90944,110,,,,,,
,,,,,25954,-83.21211,90,,,,,,
,,,,,26000,,,8.951135635375977,-2.6531596183776855,-2.157454490661621,30.46754264831543,0.844,0.001
,,,,,26040,-100.728714,86,,,,,,
