Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4361,8.114263,17,,,,,,,,
,,,,,4372,7.749405,11,,,,,,,,
,,,,,4408,24.51161,36,,,,,,,,
,,,,,4427,14.997044,19,,,,,,,,
,,,,,4452,25.763556,25,,,,,,,,
,,,,,4467,9.4624405,15,,,,,,,,
,,,,,4484,16.77644,17,,,,,,,,
,,,,,4495,8.280362,11,,,,,,,,
,,,,,4535,67.73483,40,,,,,,,,
,,,,,4556,23.736103,21,,,,,,,,
,,,,,4586,18.952854,30,,,,,,,,
,,,,,4612,11.303099,26,,,,,,,,
,,,,,4630,10.359091,18,,,,,,,,
,,,,,4672,59.08137,42,,,,,,,,
,,,,,4694,25.909798,22,,,,,,,,
,,,,,4713,15.800836,19,,,,,,,,
,,,,,4736,12.701512,23,,,,,,,,
,,,,,4744,5.652726,8,,,,,,,,
,,,,,4763,18.082481,19,,,,,,,,
,,,,,4791,6.1401157,28,,,,,,,,
,,,,,4817,8.613895,26,,,,,,,,
,,,,,4837,18.733612,20,,,,,,,,
,,,,,4847,8.257481,10,,,,,,,,
,,,,,4881,18.030645,34,,,,,,,,
,,,,,4893,8.746479,12,,,,,,,,
,,,,,4920,22.732819,27,,,,,,,,
,,,,,4949,13.419532,29,,,,,,,,
,,,,,4964,13.778132,15,,,,,,,,
,,,,,4977,9.736996,13,,,,,,,,
15.410184,5.1616096,26.152885,6.782263,17.1,5000,,,,,,,,,,
,,,,,5004,15.444006,27,,,,,,,,
,,,,,5026,17.13624,22,,,,,,,,
,,,,,5047,19.27908,21,,,,,,,,
,,,,,5065,18.291758,18,,,,,,,,
,,,,,5088,19.910192,23,,,,,,,,
,,,,,5103,13.185518,15,,,,,,,,
,,,,,5116,11.735537,13,,,,,,,,
,,,,,5125,7.304515,9,,,,,,,,
,,,,,5136,8.234184,11,,,,,,,,
,,,,,5153,16.290203,17,,,,,,,,
,,,,,5172,13.239557,19,,,,,,,,
,,,,,5209,40.328503,37,,,,,,,,
,,,,,5219,7.1509447,10,,,,,,,,
,,,,,5229,7.7704034,10,,,,,,,,
,,,,,5314,153.11804,85,,,,,,,,
,,,,,5325,7.9843903,11,,,,,,,,
,,,,,5353,22.355244,28,,,,,,,,
,,,,,5374,11.460935,21,,,,,,,,
,,,,,5395,16.254944,21,,,,,,,,
,,,,,5420,29.168795,25,,,,,,,,
,,,,,5438,13.901257,18,,,,,,,,
,,,,,5459,18.760218,21,,,,,,,,
,,,,,5478,12.729612,19,,,,,,,,
,,,,,5507,21.605076,29,,,,,,,,
,,,,,5534,25.026598,27,,,,,,,,
,,,,,5545,9.227762,11,,,,,,,,
,,,,,5556,9.517415,11,,,,,,,,
,,,,,5570,10.855827,14,,,,,,,,
,,,,,5585,11.984952,15,,,,,,,,
,,,,,5608,29.052204,23,,,,,,,,
,,,,,5630,23.490171,22,,,,,,,,
,,,,,5646,15.492506,16,,,,,,,,
,,,,,5656,7.021584,10,,,,,,,,
,,,,,5681,28.557247,25,,,,,,,,
,,,,,5703,21.138885,22,,,,,,,,
,,,,,5732,16.512325,29,,,,,,,,
,,,,,5750,17.893719,18,,,,,,,,
,,,,,5764,13.513902,14,,,,,,,,
,,,,,5847,160.24875,83,,,,,,,,
,,,,,5858,9.314035,11,,,,,,,,
,,,,,5880,21.35383,22,,,,,,,,
,,,,,5897,16.769953,17,,,,,,,,
,,,,,5913,15.467484,16,,,,,,,,
,,,,,5923,8.541615,10,,,,,,,,
,,,,,5948,12.582341,25,,,,,,,,
,,,,,5991,66.04283,43,,,,,,,,
,,,,,6029,47.545578,38,,,,,,,,
,,,,,6044,12.917207,15,,,,,,,,
,,,,,6066,13.4338875,22,,,,,,,,
,,,,,6080,12.37113,14,,,,,,,,
,,,,,6088,5.7292504,8,,,,,,,,
,,,,,6098,6.9542103,10,,,,,,,,
,,,,,6111,10.06684,13,,,,,,,,
,,,,,6136,26.842714,25,,,,,,,,
,,,,,6166,35.380997,30,,,,,,,,
,,,,,6179,11.0810175,13,,,,,,,,
,,,,,6197,15.512133,18,,,,,,,,
